Symbol	Liver_d16_Cyt49	Liver_d5_Cyt49	Liver_d8_Cyt49	Panc_d12_Cyt49	Panc_d5_Cyt49	Panc_d8_Cyt49	ESC_Cyt49
1-Dec	101.1502118	103.0961913	96.9970821	97.1115027	95.94493742	96.75434246	98.50971062
1-Mar	96.68790562	108.3415683	104.7961087	101.33336	105.0590185	100.3701842	107.9161602
10-Mar	93.12502163	98.26790344	98.66567746	93.78106658	98.51641194	103.4637206	96.36117469
11-Mar	98.18004045	224.0729479	162.3254769	102.5673733	114.7782458	148.901435	116.2171006
2-Mar	165.3219474	158.9476581	162.4889205	158.3710629	147.1967118	165.1163998	161.169993
3-Mar	249.6387245	132.3995914	122.5853986	190.5155618	109.2632016	155.346272	238.4811301
4-Mar	87.76011292	94.82624723	89.64325871	429.8047053	90.08498728	107.7791912	123.3359155
5-Mar	267.0695876	228.4518303	244.8176877	236.9739476	264.2535406	305.825534	188.7972271
6-Mar	895.3406061	637.740139	1449.463306	885.0153801	777.5272447	992.9709805	657.1019625
7-Mar	2540.906413	2985.544746	2601.434853	3038.36015	3140.034866	2944.547831	2733.513165
7A5	109.4794212	100.7871464	93.93725304	116.7380303	99.66796033	113.5435878	102.9829006
8-Mar	106.0817478	106.8501487	106.9348952	117.4262108	102.4979778	112.0736604	104.8605747
9-Mar	151.7460177	122.3619056	153.7147289	167.2271404	131.2158505	148.5689439	108.9019684
A1BG	111.6652011	117.1047069	105.4526625	112.9317314	115.9963871	107.0545488	113.4340474
A1CF	2039.425724	152.353211	1067.213854	657.6976376	161.0101756	154.2874713	101.9995455
A26C3	97.91880166	99.82735092	98.37437622	99.91481773	99.05042286	97.2763523	101.8784966
A2BP1	100.9145847	96.44100095	97.67298732	100.4101766	98.64736148	114.4105633	97.5314263
A2LD1	125.2346367	138.1735452	140.2279208	124.214729	162.8894058	137.6479143	159.365567
A2M	7594.861059	88.25311043	108.0670094	109.4819144	87.40359726	93.9293414	89.62864904
A2ML1	87.60778912	94.80094602	89.828353	86.36671752	87.21616612	87.44455319	97.30031119
A3GALT2	98.14782841	98.64031571	95.78803062	97.51727823	98.52848612	97.26934358	94.6328952
A4GALT	101.7210828	118.4028777	113.4602914	164.0532114	111.7862172	134.1449232	188.2242418
A4GNT	129.3702712	104.5272957	119.2912465	116.4669538	115.7509488	119.0679503	114.6669748
AAA1	271.574016	100.8609783	104.9026898	103.5831683	103.6677509	99.10003749	98.35103684
AAAS	172.4962773	240.4893458	192.1887624	184.1566912	273.8338923	199.3400788	248.5438322
AACS	318.0872594	278.9080692	261.9405	271.1097187	265.2305411	220.7240418	379.9674725
AACSL	129.754521	133.1486226	132.1468112	129.8478786	135.7054353	124.0859099	125.6673066
AADAC	868.5125364	104.9537691	135.1399982	97.46242917	97.70435901	109.8859927	100.5425482
AADACL1	209.6974744	250.8052773	168.106673	193.9295362	184.965258	162.1490435	219.8746618
AADACL2	101.2422782	102.6376528	94.35674735	97.63925147	103.7311989	96.6426643	99.03507824
AADACL3	91.97261002	97.39176799	93.67038891	97.10937873	94.30010247	99.66918684	95.81051828
AADACL4	117.4466991	138.6359705	114.3204947	123.4192384	127.1949385	130.5611877	101.9938902
AADAT	239.7183539	272.4772189	233.9667893	241.9656077	331.525099	240.5150002	195.534258
AAGAB	508.2896347	594.6574534	461.9516714	814.0293038	610.9349959	894.2477104	486.3145031
AAK1	132.9538174	115.9482447	151.1597559	120.9721073	105.2894388	125.6494036	118.9916753
AAMP	540.1644447	437.664148	492.2845704	640.2740766	493.9059628	483.3625067	520.4584647
AANAT	88.35024386	91.02146289	87.25968633	89.52000897	88.4464299	86.36537534	91.88089561
AARS	4011.879236	5306.591573	3752.940598	3861.392158	4629.712315	3207.745743	5914.73661
AARS2	399.5950716	421.8235368	500.8188589	395.4333854	497.0570775	359.2600878	596.0624904
AARSD1	389.3627005	436.0999171	495.828295	419.1201576	487.0747097	456.5479469	606.226356
AASDH	310.4728306	528.5637807	370.2018786	438.7678895	572.4039314	512.5728876	412.9076628
AASDHPPT	1044.588661	798.1899198	764.3933554	1238.78166	1035.684796	972.6900279	737.7652764
AASS	226.5770005	373.029391	239.8783482	247.1725868	427.3090727	309.1222954	1805.800647
AATF	345.283003	685.7743645	408.3809938	401.2285584	937.1839719	462.2478918	568.2404137
AATK	133.1880425	134.5345891	129.4031336	123.5184834	131.524642	125.5226991	132.309849
ABAT	180.0819837	121.0192243	114.3605869	122.4351455	126.4698699	117.8847074	111.9056566
ABCA1	5116.62492	1740.586624	5632.317783	1428.162289	2633.248436	2413.975137	621.2197505
ABCA10	116.3903555	118.3745179	119.3596994	122.591669	106.2991263	130.7250709	111.7502463
ABCA11	150.3408305	137.4010773	145.4251724	164.3632788	142.8457712	162.7614527	128.8973103
ABCA12	92.10992348	94.00003838	91.94003356	92.40261886	93.84168455	93.49822032	92.00623905
ABCA13	85.55705944	87.41906871	104.1651008	85.1070741	87.44255125	89.13446335	88.21307183
ABCA2	118.7837202	114.5615683	137.4049844	113.3928618	137.2003835	112.0946029	104.2858002
ABCA3	116.582129	125.944504	126.1990548	239.7236257	123.086395	180.9234679	236.1356682
ABCA4	107.3886821	135.0600001	102.394025	106.4064786	109.6136646	115.7647122	98.52500853
ABCA5	108.8445067	90.34312409	107.6863654	147.7302144	87.73388594	127.0448991	91.05579878
ABCA6	123.4086761	103.8038465	101.4887819	115.4919241	98.07220651	230.8146229	103.0188303
ABCA7	117.1018272	118.9445355	130.2131622	118.2553598	109.2694569	117.261805	137.4520383
ABCA8	114.617287	94.31945915	101.7200581	104.1985294	98.99705257	152.3213289	100.2185263
ABCA9	123.6293217	113.5590454	115.4943396	120.1691422	112.4880878	130.350062	113.0813354
ABCB1	95.15322757	91.44424202	94.27693649	104.8455047	97.26587115	94.9414783	99.45542117
ABCB10	623.8316885	529.2326474	649.1620561	637.3343684	662.6892536	546.7303227	367.0088991
ABCB11	119.567015	98.28460784	97.22912878	96.26310971	99.27778338	100.4784453	102.0621608
ABCB4	109.7418077	115.6750931	99.54312391	98.17847895	127.1956477	108.5969438	106.8261963
ABCB5	89.58504026	89.88870658	86.1929316	86.59915989	89.15767333	88.56604118	89.256853
ABCB6	505.9035609	279.2345121	457.0800864	303.1894837	260.9785224	218.6110603	473.3874538
ABCB7	569.8810197	587.5297812	469.3293522	595.339894	693.2570498	620.0015575	691.5349309
