"cx" "sd" "size" "expr_size" "expr"
"1" "COM_1" 0.889268371346903 3 0 "no"
"2" "COM_10" 0.53254521247681 5 1 "no"
"3" "COM_100" 0.484741077897027 3 1 "no"
"4" "COM_1001" 1.21000209734697 3 2 "expr"
"5" "COM_1007" 0.0278797633250998 3 1 "no"
"6" "COM_1009" 0.102047334940611 3 0 "no"
"7" "COM_1010" 0.213599275076038 3 0 "no"
"8" "COM_1011" 0.133845856134436 2 0 "no"
"9" "COM_1013" 0.558287190698417 3 0 "no"
"10" "COM_1016" 1.03193052077876 3 1 "no"
"11" "COM_1019" 0.344072519818853 4 0 "no"
"12" "COM_102" 0.731103676807926 2 0 "no"
"13" "COM_103" 0.812815661309637 4 2 "no"
"14" "COM_1032" 0.338836310007821 4 3 "expr"
"15" "COM_1034" 0.236315644555319 3 0 "no"
"16" "COM_1037" 0.123910917128208 3 1 "no"
"17" "COM_104" 0.954415977281109 3 1 "no"
"18" "COM_1044" 0.809437424277117 4 1 "no"
"19" "COM_1048" 1.0334608006113 3 0 "no"
"20" "COM_1049" 1.07898539740508 5 2 "no"
"21" "COM_105" 0.836315884362946 3 1 "no"
"22" "COM_1050" 1.27576421060576 4 1 "no"
"23" "COM_1052" 0.938105916051634 4 0 "no"
"24" "COM_1056" 0.200527153702059 3 1 "no"
"25" "COM_106" 0.552680347165301 3 1 "no"
"26" "COM_1061" 1.09510600228461 3 1 "no"
"27" "COM_1065" 0.346336275506942 4 1 "no"
"28" "COM_1067" 0.887661705074619 2 0 "no"
"29" "COM_1068" 0.127164243321166 2 1 "no"
"30" "COM_1073" 0.145266743129471 3 2 "expr"
"31" "COM_1075" 0.340371925435413 3 1 "no"
"32" "COM_108" 0.9680591953049 3 1 "no"
"33" "COM_1083" 0.154944796355397 3 1 "no"
"34" "COM_1084" 0.904958672820452 3 1 "no"
"35" "COM_1088" 0.137422846366491 5 1 "no"
"36" "COM_109" 0.0581137254135785 3 0 "no"
"37" "COM_1090" 0.206636181750296 3 0 "no"
"38" "COM_1096" 1.12430552305947 3 1 "no"
"39" "COM_1098" 0.278005690140877 2 1 "no"
"40" "COM_11" 0.507666547539617 6 2 "no"
"41" "COM_110" 0.506313508658972 3 0 "no"
"42" "COM_1112" 0.940838411406748 3 0 "no"
"43" "COM_1114" 0.523741475454506 3 0 "no"
"44" "COM_1124" 0.765375848276428 4 1 "no"
"45" "COM_1129" 0.960892740970614 3 0 "no"
"46" "COM_113" 0.0829961664559253 3 1 "no"
"47" "COM_1130" 0.487202548837477 4 1 "no"
"48" "COM_1133" 0.270883539221804 9 1 "no"
"49" "COM_1134" 0.245645540927193 8 1 "no"
"50" "COM_1135" 0.53958180042602 5 0 "no"
"51" "COM_114" 0.350025086526431 3 1 "no"
"52" "COM_115" 0.464640119575231 3 0 "no"
"53" "COM_1151" 0.080619257713892 3 0 "no"
"54" "COM_1159" 0.482399545187491 4 1 "no"
"55" "COM_116" 0.303058622725579 4 0 "no"
"56" "COM_1162" 0.251911885377596 3 2 "expr"
"57" "COM_1167" 0.143132808370859 3 0 "no"
"58" "COM_1171" 0.0301872214726278 5 3 "no"
"59" "COM_1173" 1.07664456123674 2 1 "no"
"60" "COM_1177" 0.241941655913798 3 1 "no"
