gene	cor	p	phase
ENSG00000102977	0.297223573568858	1.72579422392804e-19	G1_S
ENSG00000119640	0.400981821273401	1.7832162893679e-35	G1_S
ENSG00000169188	0.38346098699304	2.40755016981371e-32	G1_S
ENSG00000134884	0.19322650705563	6.97301073784174e-09	G1_S
ENSG00000156802	0.531186022409958	1.6261733068055e-65	G1_S
ENSG00000166164	0.112978852915755	0.000765077638453887	G1_S
ENSG00000106144	0.286987961322168	3.19132951224538e-18	G1_S
ENSG00000105173	0.534082153688928	2.42054994769812e-66	G1_S
ENSG00000094804	0.497521706631507	1.83261009913175e-56	G1_S
ENSG00000144354	0.295169620208495	3.12877810866746e-19	G1_S
ENSG00000164649	0.336702554695028	7.12497928140351e-25	G1_S
ENSG00000166037	0.184098137460027	3.52620951631437e-08	G1_S
ENSG00000167670	0.496226333751732	3.90442577391426e-56	G1_S
ENSG00000092853	0.599017925744257	3.37439155944449e-87	G1_S
ENSG00000137504	0.1253362759034	0.000186982508138718	G1_S
ENSG00000117984	0.0922385043645876	0.00606179423008244	G1_S
ENSG00000083520	0.172078350221054	2.64035457301901e-07	G1_S
ENSG00000102580	0.0124170341096004	0.712368642782978	G1_S
ENSG00000159147	0.317268410966768	4.01769640555297e-22	G1_S
ENSG00000143476	0.550319597527192	3.92424696128441e-71	G1_S
ENSG00000101412	0.539767840509079	5.44869089142769e-68	G1_S
ENSG00000144895	0.0634310002289972	0.0594069754755864	G1_S
ENSG00000139684	0.227774185572756	7.23639613659091e-12	G1_S
ENSG00000160688	0.136539301999231	4.64213487662714e-05	G1_S
ENSG00000131153	0.37732674950742	2.7134123399274e-31	G1_S
ENSG00000112312	0.469839709853442	9.66158332145641e-50	G1_S
ENSG00000119969	0.530951444277625	1.89592549722966e-65	G1_S
ENSG00000174775	0.0476981528116526	0.156492296339015	G1_S
ENSG00000171105	0.288209570937335	2.26705427180475e-18	G1_S
ENSG00000116679	0.309850389489296	4.00092598372158e-21	G1_S
ENSG00000108848	0.139330488161086	3.22420000555398e-05	G1_S
ENSG00000073111	0.357374321735293	5.04328922512232e-28	G1_S
ENSG00000104738	0.347616909131477	1.65566346070438e-26	G1_S
ENSG00000100297	0.356819819466017	6.17035338171609e-28	G1_S
ENSG00000108590	0.243816047557904	1.98034164577903e-13	G1_S
ENSG00000037757	0.181399789630831	5.60737123106452e-08	G1_S
ENSG00000132780	0.303751101241608	2.52272611026528e-20	G1_S
ENSG00000245532	0.188112360801269	1.74599284019792e-08	G1_S
ENSG00000114857	0.135122605578151	5.57065518018324e-05	G1_S
ENSG00000169851	0.191738083642575	9.1319216444891e-09	G1_S
ENSG00000132646	0.443850086730055	5.73760017075765e-44	G1_S
ENSG00000100941	0.143513957834596	1.84282969350681e-05	G1_S
ENSG00000008952	0.114654356778263	0.000636967506189596	G1_S
ENSG00000145604	0.359043693802212	2.74125919402385e-28	G1_S
ENSG00000163950	0.451581486490286	1.23866864475757e-45	G1_S
ENSG00000114120	0.0616033320715923	0.0671384457717498	G1_S
ENSG00000115875	0.227307284478471	8.00377117690521e-12	G1_S
ENSG00000114850	-0.164343554305746	8.97793865859521e-07	G1_S
ENSG00000270647	0.170885856133336	3.20027663421352e-07	G1_S
ENSG00000163781	0.355198570206875	1.11027222340184e-27	G1_S
ENSG00000164548	0.0454989562212362	0.176513845968375	G1_S
ENSG00000276043	0.417476287166407	1.34252998505509e-38	G1_S
ENSG00000163159	0.186302789453078	2.40148785686919e-08	G1_S
ENSG00000092470	0.390749524899673	1.26547818162923e-33	G1_S
ENSG00000165724	0.331263866078108	4.3940029166142e-24	G1_S
ENSG00000132485	0.146332361883837	1.25302430005828e-05	G1_S
ENSG00000105011	0.53343906687544	3.70083467971651e-66	S
ENSG00000156802	0.541049266181197	2.29398070013455e-68	S
ENSG00000012048	0.408052625044554	8.58453300534365e-37	S
ENSG00000197603	0.209546358866275	3.14571367648656e-10	S
ENSG00000122786	0.103045411436389	0.00215789133008598	S
ENSG00000143933	0.0932171915972609	0.00554285395775509	S
ENSG00000106144	0.218655707715698	4.9783456405425e-11	S
ENSG00000175455	0.344614288493469	4.7308133981455e-26	S
ENSG00000186166	0.208007155588251	4.2606376600723e-10	S
ENSG00000146670	0.477830183565341	1.28106456980274e-51	S
ENSG00000100162	0.322093498918035	8.69867967375125e-23	S
ENSG00000203668	0.285191206556652	5.26113862585811e-18	S
ENSG00000088682	0.223763674078236	1.70759887951866e-11	S
ENSG00000139117	0.226829639647294	8.87104675571808e-12	S
ENSG00000137504	0.134977800703728	5.67487905598255e-05	S
ENSG00000088766	0.189909803078993	1.2681901896075e-08	S
ENSG00000228716	0.381304167437908	5.67547105304504e-32	S
ENSG00000159147	0.290958943493636	1.04364793972605e-18	S
ENSG00000135720	0.234350428567344	1.70904712959405e-12	S
ENSG00000148730	0.227791214916359	7.20981304606901e-12	S
ENSG00000132199	0.142466559102624	2.12299783307667e-05	S
ENSG00000106462	0.373898348707861	1.02734131126707e-30	S
ENSG00000187741	0.395505624021851	1.77803422430644e-34	S
ENSG00000140525	0.270968551553009	2.42505413749861e-16	S
ENSG00000168496	0.446325344220197	1.69855927063972e-44	S
ENSG00000023909	0.164543070674359	8.70502575568985e-07	S
ENSG00000189060	0.220434388102388	3.44001588602547e-11	S
ENSG00000119969	0.370487037585925	3.80349106544361e-30	S
ENSG00000197061	0.524592350792836	1.16132264093403e-63	S
ENSG00000143013	0.226641118722459	9.23808575141548e-12	S
ENSG00000186687	0.200466323864153	1.82122129513495e-09	S
ENSG00000198162	0.292405206589714	6.91576456846151e-19	S
ENSG00000169967	0.153173941691471	4.76750566222839e-06	S
ENSG00000129071	0.166917630768904	6.0114464159139e-07	S
ENSG00000005810	0.219548718340233	4.13679141316660e-11	S
ENSG00000245532	0.029542619613421	0.380316177118383	S
ENSG00000116044	0.123757958560854	0.000225517331479769	S
ENSG00000030066	0.260052841577715	3.94863458945311e-15	S
ENSG00000147162	0.192304225365615	8.24356254626581e-09	S
ENSG00000164823	0.177824582072101	1.02578421088041e-07	S
ENSG00000146247	0.252510495477256	2.51942209426885e-14	S
ENSG00000116793	0.27302842263507	1.41177408406831e-16	S
ENSG00000006576	0.302789662265949	3.35903889800884e-20	S
ENSG00000127564	0.482783012701666	8.29177424914676e-53	S
ENSG00000111247	0.504676321600235	2.64931446366346e-58	S
ENSG00000101773	0.435877630679767	2.70439010575932e-42	S
